type;text
hello;HOW TO SAY HELLO TANIŞMA MERHABA
hello;What’s happening
hello;How’s it going?
hello;Good evening
hello;Hey, boo
hello;How are you?
hello;Nice to meet you!
hello;Long time no see
hello;What’s the good word?
hello;What’s new?
hello;Look who it is!
hello;How have you been?
hello;Nice to see you again.
hello;Greetings and salutations!
hello;How are you doing today?
hello;What have you been up to?
hello;How are you feeling today?
hello;Look what the cat dragged in!
hello;Good afternoon, sir, how are you today?
hello;Hi there
hello;Howdy
hello;Greetings
hello;Hey, What’s up?
hello;Morning/afternoon/evening
hello;What’s going on?
hello;Hey! There she/he is
hello;How’s everything?
hello;How are things?
hello;Good to see you
hello;Great to see you
hello;Nice to see you
hello;1. Greetings
hello;Welcome to Leipzig.
hello;Good morning/afternoon/evening.
hello;G'day. (Australian English)
hello;Hello.
hello;Hi.
hello;Goodbye.
hello;Bye-bye.
hello;Bye.
hello;See you. (CU)
hello;Cheers.
hello;Say hello to Peter from me.
hello;Please give my love to Peter.
hello;2. Asking
hello;Pardon?
hello;How do you do?
hello;How are you?
hello;I'm fine, thanks.
hello;Not too bad.
hello;3. Introducing
hello;I'd like you to meet Peter.
hello;May I introduce you to Peter?
hello;May I introduce Peter to you?
hello;4. Wishes, Thanks, Offers
hello;Lovely day today, isn't it?
hello;Excuse me, ...
hello;What's the matter?
hello;Good luck!
hello;Congratulations.
hello;Many happy returns of the day.
hello;Happy birthday!
hello;Bless you!
hello;Get well soon!
hello;Could you do me a favour?
hello;May I offer you a drink?
hello;Are you sure you wouldn't like to come in?
hello;Thank you very much! Thank you. Many thanks. Thanks a lot. - You're welcome.
hello;Would you excuse me, please?
hello;It doesn't matter.
hello;I’m good.
hello;I’m fine.
hello;Pretty good
hello;I’m well
hello;I’m OK.
hello;Not too bad.
hello;Just the same old same old
hello;Yeah, all right.
hello;I’m alive.
hello;Very well, thanks
hello;I’m hanging in there.
hello;I’ve been better.
hello;Nothing much.
hello;Not a lot.
hello;Nothing.
hello;Oh, just the usual.
hello;Oh gosh, all kinds of stuff!
hello;Like you, but better.
hello;I could really go for a massage.
hello;Much better now that you are with me.
hello;Not so well
hello;So far, so good!
hello;I’m pretty standard right now.
hello;Happy and content, thank you.
hello;Going great. Hope this status quo persists for rest of the day.
hello;Well enough to chat with you if you wish to.
hello;I’m better than I was, but not nearly as good as I’m going to be.
hello;I think I’m doing OK. How do you think I’m doing?
hello;I am blessed!
hello;Way better than I deserve!
hello;I have a pulse, so I must be okay.
hello;Better than some, not as good as others.
hello;I’m doing really well.
hello;Medium well.
hello;I would be lying if I said I’m fine.
hello;Surviving, I guess.
hello;In need of some peace and quiet.
hello;Horrible, now that I’ve met you.
hello;Imagining myself having a fabulous vacation.
hello;I’m better on the inside than I look on the outside
hello;Sunshine all day long!
hello;I’m not sure yet.
hello;I am high-quality.
hello;Real terrible, thanks for asking.
hello;Incredibly good looking.
hello;The best I can be. Assuming you’re at your best too.
hello;I’m still sucking air.
hello;Better than nothing.
hello;I’m vertical and breathing.
hello;Different day, same existence.
hello;How’s everything?
hello;How’s it going?
hello;How are things?
hello;What’s up?
hello;How are you doing?
hello;What’s new?
hello;You all right?
hello;How have you been?
hello;How are things going?
hello;Are you well?
hello;What’s going on?
hello;How are you feeling?
hello;What are you up to?
hello;What’s sizzling?
hello;How do you do?
hello;Howdy!
hello;What’s good in the hood?
hello;Long time no see!
hello;What’s new with you?
hello;How long has it been?
hello;Must be tough, huh?
hello;Sup?
hello;Anything interesting happening in your life lately?
hello;What is happening?
hello;How are you holding up?
hello;How is life sailing?
hello;What are you heading?
hello;How are things coming along?
hello;What was the highlight of your day, so far?
hello;How was your day?
hello;What have you been doing since we last talked?
hello;How’s everything little thing in your life?
hello;How do you fare?
hello;How’s it rolling?
hello;What’s up with the flow?
hello;What’s with the face?
hello;How’s everything coming together?
hello;Is there anything concerning you?
hello;What’s the latest buzz in your world?
hello;What’s shakin’?
congratulations;Congratulations
congratulations;You did it! I always knew you would. Congratulations.
congratulations;You have worked so hard, you deserve this more than anyone in the world. Congratulations on passing your (insert name of exam here.)
congratulations;Congratulations on coming to this special milestone, we are so proud of how far you have come.
congratulations;You put in the hard work and now it has paid off! Congratulations, I am so happy for you.
congratulations;Congrats on passing the test! You’ve certainly passed my test!
congratulations;Congratulations on your wedding, we wish you all the happiness and love in the world.
congratulations;May you have a lifetime of happiness with one another, sending our deepest congratulations.
congratulations;Meeting your soul mate is special, lucky and joyous, let me say congratulations on meeting yours.
congratulations;Here’s to your wedding day, may it be filled with joy. Congratulations to you both.
congratulations;Congratulations to the happy couple on what is sure to be the most memorable day of your lives.
congratulations;Wishing you congratulations at the start of this amazing journey together.
congratulations;I hope that today is the beginning of a lifetime of happiness, congratulations on your wedding day.
congratulations;Congratulations to the bride and groom on this, their wedding day.
congratulations;May peace and happiness surround you for today and all your lives to come. Congratulations on your wedding.
congratulations;Congratulations on the bringing together of two people who not only love one another but are very loved by all of us.
congratulations;Best wishes and congratulations on this special day, here’s to a lifetime of memories.
congratulations;Congratulations on your wedding day, may you be in love today, tomorrow and always.
congratulations;A huge round of applause for the new (insert job title here) Massive congratulations to you.
congratulations;I am so happy for you at the beginning of this new journey. May you be truly blessed. Congratulations.
congratulations;Congrats on the new job! You are going to smash it!
congratulations;What an inspiration you are, and now you have the job to prove it! Congratulations on this new venture.
congratulations;Wishing you all the best as you start your new job and sending you many congratulations.
congratulations;What an amazing new place you have, congratulations and we wish you many happy years in your new home.
congratulations;Congratulations on buying your first home, here’s to bills, bad plumbing and noisy neighbours!
congratulations;A home is a special place and we are so glad you have found yours, congratulations on the new pad.
congratulations;Congratulations on finding the place where all your dreams will come true.
congratulations;It’s now time to start making many happy memories in your new home, but first, let me send my congratulations.
congratulations;Congratulations on the beautiful new arrival to your family, may they long be loved and cherished.
congratulations;Well done Mum and Dad! Here’s to many years of wonderful family times with your new baby boy/girl.
congratulations;Wishing all the love in the world to a precious little one, and sending many congratulations to the happy new parents.
congratulations;Congratulations on your bundle of joy.
congratulations;May your precious new baby bring you much joy and happiness, congratulations on their safe arrival.
congratulations;From our family to yours, congratulations on your new arrival.
congratulations;Sending you our love and thoughts on the birth of your beautiful new baby.
address;1. Excuse me! Can you tell me the way to the museum?
address;2. Excuse me! How do I get to the post office?
address;3. Pardon me! I’m lost. How do I get to the cafe?
address;4. Please tell me how I get to your apartment?
address;5. Excuse me! Is there a hospital near here?
address;6. What’s the best way to supermarket?
address;7. Excuse me! Could you tell me how to get to bookstore?
address;8. Excuse me! Do you know where the church?
address;9. Could you help me, please? I’m looking for the bank.
address;10. Are we on the right road to Louis Hotel?
address;11. Is this the right way to Brington Resort?
address;12. Do you have a map?
address;13. Can you show me on the map?
address;14. Where is the chemist?
address;15. Can you give me directions to the nearest bus stop?
address;16. Where can I find the nearest bakery?
address;17. Is there a supermarket near here?
address;18. Is there a sports shop around here?
address;19. Can you tell me how to get to the bookstore from here?
address;20. What’s the easiest way to get to the nearest cinema from here?
address;21. Excuse me! Where is the airport?
address;22. Which road should I take to get to library?
address;23. In which direction is the nearest Gas Station?
address;24. Can you show me which way to go using the map?
address;25. Can I follow you?
address;26. Could you please guide me?
address;27. What direction should I take?
address;28. Can you tell me the best way of getting to your office?
address;29. Which way do I go to get to the beach?
address;30. What’s the quickest way of getting to the supermarket?
address;31. How do you get to the bus stop?
address;32. I am looking for this address, am I in the right place?
address;33. Does this bus go to the center?
address;34. Do you know the train station?
address;35. Sorry to bother you, but would you mind showing me the way to post office?
address;36. May I ask where the Marriott Hotel is?
address;37. Could you please point me in the direction of the Times Square?
address;38. Excuse me! I’m lost. Could you please help me find the 5th Avenue?
address;39. Excuse me! Can you help me find Liam Primary School? This is my first time in the city.
address;40. Do you know how to get to the gallery? I’ve never been there before.
address;41. Sorry to disturb you, but I’m lost. I’m looking for the Sydney Opera House.
address;42. I wonder if you could help me? I’m looking for the nearest bank.
address;43. Excuse me! Could you tell me where the closest bank is?
address;44. Excuse me! Please could you tell me the way to Fairfax Street?
address;45. Do you know where the closest post office is?
address;46. Am I heading in the right direction to the police station?
address;47. Am I on the right road to the Blackbird restaurant?
address;48. Am I close to hospital?
address;49. Excuse me! I’m afraid I can’t find a petrol station. Do you know where one is?
address;50. Excuse me! Could you give me a few direction? I am lost way.
address;51. Will you please tell me where the library is?
address;52. Would you show me the way to the clothes shop?
address;53. May I ask for some help? I need to get to the CN Tower.
address;54. May I ask you how to get to the Eaton Centre?
