ID;type;text
276;possessive_pronouns;my | f | s
277;possessive_pronouns;your | s
278;possessive_pronouns;our | f
279;possessive_pronouns;their | t
280;possessive_pronouns;his | t | m
281;possessive_pronouns;her | t | f | s
282;possessive_pronouns;its | t | s
283;possessive_pronouns;hers | t | f | s
284;possessive_pronouns;yours | s
285;possessive_pronouns;ours | f | p
286;possessive_pronouns;theirs | t | p
287;strong_words;rural
288;strong_words;frugal
289;strong_words;twin
290;strong_words;santorum
291;strong_words;detritus
292;strong_words;entrepreneurial
293;strong_words;pronounciation
294;strong_words;moisture
295;strong_words;peculiarly
296;strong_words;crepuscular
297;strong_words;ubiquitous
298;strong_words;malarkey
299;strong_words;bubbles
300;strong_words;dude
301;strong_words;torque
302;strong_words;google
303;strong_words;visualization
304;strong_words;cliche
305;strong_words;floccinaucinihilipilification
306;strong_words;conundrums
307;strong_words;doodlesack
308;strong_words;volunteer
309;strong_words;mississippilessly
310;strong_words;calisthenics
311;strong_words;serendipity
312;strong_words;grommets
313;strong_words;dilettante
314;strong_words;macrosmatic
315;strong_words;supercalifragilisticexpialidocious
316;strong_words;flabbergasted
317;strong_words;sphygmomanometer
318;strong_words;Kardashian
319;strong_words;hubbub
320;strong_words;prescription
321;strong_words;caulking
322;strong_words;wreath
323;strong_words;expat
324;strong_words;jentacular
325;strong_words;schnapps
326;strong_words;zdravstvuite
327;strong_words;phlegm
328;strong_words;specific
329;strong_words;quproch
330;strong_words;riboflavin
331;strong_words;cubersome
332;strong_words;garage
333;strong_words;flummoxed
334;strong_words;profiterole
335;strong_words;ruler
336;strong_words;dingleberry
337;strong_words;egg
338;strong_words;ombudsman
339;strong_words;perpendicular
340;strong_words;collate
341;strong_words;abruptly
342;strong_words;word
343;strong_words;bitter
344;strong_words;cellar
345;strong_words;airworthy
346;strong_words;stupendous
347;strong_words;swathe
348;infinitive_verbs;accept
349;infinitive_verbs;add
350;infinitive_verbs;admire
351;infinitive_verbs;admit
352;infinitive_verbs;advise
353;infinitive_verbs;afford
354;infinitive_verbs;agree
355;infinitive_verbs;alert
356;infinitive_verbs;allow
357;infinitive_verbs;amuse
358;infinitive_verbs;analyse
359;infinitive_verbs;announce
360;infinitive_verbs;annoy
361;infinitive_verbs;answer
362;infinitive_verbs;apologise
363;infinitive_verbs;appear
364;infinitive_verbs;applaud
365;infinitive_verbs;appreciate
366;infinitive_verbs;approve
367;infinitive_verbs;argue
368;infinitive_verbs;arrange
369;infinitive_verbs;arrest
370;infinitive_verbs;arrive
371;infinitive_verbs;ask
372;infinitive_verbs;attach
373;infinitive_verbs;attack
