type,text,defn
root,"ab | abbreviate - 6 | abdicate - hs | aberration - hs | abject - 8 | abnormal - 5 | absence - 6 | absolute - 6 | abstinence - hs | abstract - 6 | abundance - 7","apart (prefix) | away from | off"
root,"abil | ability | capability | incapability","aptitude | handy"
root,"abs | abduct | absent | abstain | abstemious | abstention | abstinence | abstract | abstraction | abstruse | aversion","apart (prefix) | away from | off"
root,"acerb | acerbic | acerbity | exacerbate",bitter
root,"acid | acid | acidic | acidity",sour
root,"acou | acoustics",hearing
root,"acr | acrid | acrimonious","bitter | sour"
root,"acro | acrobat | acronym | acrophobia | acropolis","first | pointed | top | upper"
root,"act | action | activist | counteract | exact | interaction | reactionary | retroactive | transact | transaction","act | do | drive | go | move | urge"
root,"acu | acumen | acupuncture | acute",sharp
root,"ad | adequate - 7 | adhere - 8 | adjourned - 8 | admission - 6 | admonish - hs | adventurous - 5 | adversity - 8 | advocate - 7","near (prefix) | to | towards"
root,"aedi | edifice | edify","house | temple"
root,"aer | aerate | aerial | aerodynamics | aeronaut | aeronomy",air
root,"ag | agency | agenda | agent | agility | agitate | agitation | coagulate | synagogue","act | do | drive | go | move | urge"
root,"ago | agog","do | go | move"
root,"agog | demagogue | pedagogue | pedagogy | synagogue","bringing | leading"
root,"agon | agony | antagonist | protagonist","contest | struggle"
root,"agr | agrarian | agribusiness | agriculture | peregrinate","country | field | land"
root,"al | alloy","near (prefix) | to | towards"
root,"ala | aileron | aisle | alar | alary | aliform","a wing"
root,"alacr | alacritous | alacrity","lively | swift"
root,"ali | alias | alibi | alien | alienate | inalienable","another | other"
root,"all | allegory | allergy | allomorph | allopathy | parallel",other
root,"alt | altar | altimeter | altitude | contralto | exalt",high
root,"alter | alter ego | altercation | alternate | alternative | unaltered",other
root,"altr | altruism",other
root,"am | amateur | amatory","friend | love"
root,"amb | ambition","about | around | both (prefix)"
root,"ambi | ambiance | ambidextrous | ambient | ambiguity | ambiguous | ambition | ambivalence","about | around | both (prefix)"
root,"ambl | amble | preamble","go | walk"
root,"ambul | ambulance | ambulatory | funambulist | perambulate | somnambulist",walk
root,"amen | amenity",pleasant
root,"ami | amiable | amity","friend | love"
root,"amic | amicability | amicable","friend | love"
root,"amor | amorous | enamor | paramour","friend | love"
root,"amphi | amphibian | amphitheater","around (prefix) | on both sides"
root,"ampl | amplification | amplify | amplitude","large | spacious"
root,"an | anarchy | anecdote | anesthesia","lacking | not | without"
root,"andr | androgynous | android | misandry",man
root,"ang | angle | triangulate","a corner | angle"
root,"anim | animosity | equanimity | magnanimous | pusillanimous | unanimous","mind | soul | spirit"
root,"anima | animal | animate | inanimate","breath | life"
root,"ann | anniversary | annual | annuity | per annum",year
root,"ante | antebellum | antecedent | antediluvial | anterior | anteroom",before
root,"anth | amaranthperianth | anthology | anthozoan",flower
root,"anthrop | anthropoid | anthropology | anthropomorphic | lycanthrope | misanthrope | philanthropy",man
root,"anti | antibody | anticlimax | antidote | antipathy | antiseptic | antisocial","against (prefix)"
root,"antiqu | antique | antiquity",ancient
root,"anx | anxiety | anxiolytic | anxious | anxiousness","distressed | worried"
